trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.55, 'e': 0.4867522559599717}",20,8,-9.604695970730475,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.55, 'e': 0.4819089900902025}",20,6,0.9621525850634942,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.55, 'e': 0.47711391552103444}",20,0,-39.5068213470012,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
74,False,"{'a': 0.55, 'e': 0.4723665527410147}",25,0,-96.62646752477988,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
75,False,"{'a': 0.55, 'e': 0.4676664270099093}",25,0,-40.27249908842652,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
76,False,"{'a': 0.55, 'e': 0.463013068311228}",30,3,-10.136227133351422,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 0}",1
77,False,"{'a': 0.55, 'e': 0.45840601130522357}",20,2,-49.042708171381854,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 0}",1
78,False,"{'a': 0.55, 'e': 0.4538447952823558}",25,11,-8.54521554794779,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
79,False,"{'a': 0.55, 'e': 0.44932896411722156}",20,0,-127.59899827587245,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
80,False,"{'a': 0.55, 'e': 0.44485806622294105}",30,18,12.833049560771636,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.55, 'e': 0.4404316545059992}",20,15,-13.273893997350314,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.55, 'e': 0.43604928632153556}",20,7,-30.603076627920856,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
83,False,"{'a': 0.55, 'e': 0.43171052342907973}",25,16,5.414230836817016,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.55, 'e': 0.4274149319487267}",25,8,-22.382007838829857,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.55, 'e': 0.4231620823177489}",30,1,-56.70653102771209,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 0}",1
86,False,"{'a': 0.55, 'e': 0.418951549247639}",25,3,-138.98321927970227,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 3}",1
87,False,"{'a': 0.55, 'e': 0.4147829116815814}",20,3,3.0436986075300787,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.55, 'e': 0.4106557527523455}",20,0,-54.31813589284919,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.55, 'e': 0.40656965974059905}",20,15,9.791574273105976,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.55, 'e': 0.40252422403363597}",25,0,-21.149144554497763,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
91,False,"{'a': 0.55, 'e': 0.39851904108451414}",30,19,17.108848051937034,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.55, 'e': 0.3945537103716011}",20,11,-5.88678903369994,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.55, 'e': 0.3906278353585211}",25,13,5.834352997176788,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.55, 'e': 0.3867410234545012}",20,0,-47.04172155640066,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.55, 'e': 0.382892885975112}",25,15,10.510082387969486,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.55, 'e': 0.37908303810339883}",25,0,-36.35731231255022,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",1
97,False,"{'a': 0.55, 'e': 0.37531109885139957}",30,13,1.1138253912613667,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.55, 'e': 0.3715766910220457}",25,0,-22.73518947121572,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
99,False,"{'a': 0.55, 'e': 0.36787944117144233}",20,16,8.239154083501132,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.55, 'e': 0.3642189795715233}",20,12,2.09614352507509,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.55, 'e': 0.3605949401730783}",25,15,-47.584764980640834,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
102,False,"{'a': 0.55, 'e': 0.3570069605691474}",20,0,-23.10329587304436,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.55, 'e': 0.3534546819587801}",20,1,-46.55172134165794,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
104,False,"{'a': 0.55, 'e': 0.3499377491111553}",20,0,16.070829027275906,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.55, 'e': 0.3464558103300574}",20,8,-7.176168780949273,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.55, 'e': 0.34300851741870664}",20,0,13.150944770349808,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
107,False,"{'a': 0.55, 'e': 0.3395955256449391}",20,0,-60.9683064441527,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
108,False,"{'a': 0.55, 'e': 0.3362164937067333}",25,7,-14.009303483205008,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.55, 'e': 0.3328710836980795}",20,6,12.964797800930242,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.55, 'e': 0.32955896107518906}",20,2,17.90481084606578,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.55, 'e': 0.32627979462303947}",25,18,11.854701178741497,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.55, 'e': 0.3230332564222529}",20,7,-8.94859403773927,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
113,False,"{'a': 0.55, 'e': 0.31981902181630384}",20,3,-50.226072210248894,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.55, 'e': 0.31663676937905316}",30,20,14.97256913324863,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.55, 'e': 0.3134861808826053}",30,18,18.301966700282435,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.55, 'e': 0.31036694126548503}",25,6,-3.0480490318555464,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.55, 'e': 0.30727873860113125}",20,0,-77.60993414996425,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",1
118,False,"{'a': 0.55, 'e': 0.3042212640667041}",20,0,26.158168836734298,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.55, 'e': 0.30119421191220214}",25,4,9.864921988817803,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.55, 'e': 0.2981972794298874}",20,7,8.847747654777962,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.55, 'e': 0.2952301669240142}",20,0,16.464581171419905,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
122,False,"{'a': 0.55, 'e': 0.2922925776808594}",25,10,-18.39007626109088,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.55, 'e': 0.28938421793905067}",25,11,-38.98812515804306,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
124,False,"{'a': 0.55, 'e': 0.2865047968601901}",25,13,7.218632998788312,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.55, 'e': 0.28365402649977034}",30,18,9.595256475821383,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.55, 'e': 0.2808316217783798}",20,10,-5.869256935226973,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.55, 'e': 0.27803730045319414}",25,0,-36.05603274941936,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
128,False,"{'a': 0.55, 'e': 0.27527078308975234}",20,0,7.965865596040519,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
129,False,"{'a': 0.55, 'e': 0.2725317930340126}",25,1,17.913119364584603,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.55, 'e': 0.2698200563846868}",20,0,-23.679728548521265,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
131,False,"{'a': 0.55, 'e': 0.26713530196585034}",20,0,3.7400294681225095,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.55, 'e': 0.26447726129982396}",20,6,18.309034191965853,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.55, 'e': 0.261845668580326}",20,4,-12.809099656691473,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
